problem,path,repeat,order_position,method,status,rows,columns,nonzeros,presolve,presolve_status,threads,tolerance,internal_tolerance,time_limit,read_seconds,setup_seconds,solve_seconds,postsolve_seconds,total_seconds,process_seconds,iterations,outer_iterations,inner_iterations,factor_seconds,linear_solve_seconds,objective,primal_infeasibility,dual_infeasibility,canonical_rows,canonical_columns,canonical_nonzeros,active_columns,preconditioner_core_min,preconditioner_core_mean,preconditioner_core_max,preconditioner_refreshes,preconditioner_factorizations,preconditioner_retained_mean,preconditioner_symbolic_analyses,preconditioner_retries,preconditioner_full,pcg_iterations,pcg_max_iterations,pcg_failures,low_rank_columns,low_rank_candidate_edges,peak_memory_mb,timing_consistent,solver_version,model_status,run_status,error,relative_gap,complementarity,hsd_residual,tau,kappa,theta,pricing_rounds,columns_added,columns_dropped,proximal_subproblems,proximal_checks,proximal_last_ratio,structure,preconditioner
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,1,highs-hipo,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,2.3146516736596823,0.26444684341549873,32.144035467877984,0.032076990231871605,34.75572560168803,35.05907463654876,37,,,,,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,,,,,,,,,,,,,,,,,,,437.26953125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,2,psipm-v3,optimal,11077,262144,1503732,off,off,1,1e-06,1e-06,5000.0,2.3404426500201225,0.012778956443071365,322.5923801306635,0.009052898734807968,324.9548022635281,325.2620714586228,,63,45001,25.944440703839064,287.1707799099386,255.99999999860884,3.3531953380627755e-08,3.419479998584371e-14,11077,262144,1503732,262144,,,,,,,,,,45001,,29,,,1052.5390625,True,psipm-v3-hsd-generic-2,,,,2.7116970137912222e-12,1.6266024933375536e-19,2.8414254195281213e-08,0.8473783989542703,1.3701801991018268e-19,7.479017649083326e-18,31,0,0,31,63,0.044248189138020054,generic-sparse,stable-active-column
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,3,highs-ipx,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,2.301943527534604,0.26158791594207287,128.36203743703663,0.03211450204253197,130.9579887278378,131.24390182457864,17,,,,,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,,,,,,,,,,,,,,,,,,,304.0234375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,1,psipm-v3,optimal,11077,262144,1503732,off,off,1,1e-06,1e-06,5000.0,2.1818482764065266,0.012423064559698105,325.4359935875982,0.009115437045693398,327.6395257432014,327.94708006829023,,63,45001,26.01073935814202,289.9847092460841,255.99999999860884,3.3531953380627755e-08,3.419479998584371e-14,11077,262144,1503732,262144,,,,,,,,,,45001,,29,,,1051.52734375,True,psipm-v3-hsd-generic-2,,,,2.7116970137912222e-12,1.6266024933375536e-19,2.8414254195281213e-08,0.8473783989542703,1.3701801991018268e-19,7.479017649083326e-18,31,0,0,31,63,0.044248189138020054,generic-sparse,stable-active-column
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,2,highs-ipx,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,2.184853296726942,0.2591521851718426,127.65922618843615,0.03202875144779682,130.13556545972824,130.4228716995567,17,,,,,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,,,,,,,,,,,,,,,,,,,304.4375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,3,highs-hipo,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,2.196908937767148,0.2669909615069628,32.16605366021395,0.031918084248900414,34.66237610206008,34.95780227705836,37,,,,,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,,,,,,,,,,,,,,,,,,,436.8828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,1,highs-ipx,unknown,1735470,9142907,18365107,off,,1,1e-06,,5000.0,29.819095950573683,4.537590319290757,3034.383416172117,1.231491006910801,3069.971938347444,3070.263966280967,5,,,,,2.979679602003336e+16,2.8199376544007833,983.670392862535,,,,,,,,,,,,,,,,,,,5403.01171875,True,1.15.1,HighsModelStatus.kUnknown,HighsStatus.kWarning,,,,,,,,,,,,,,,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,2,highs-hipo,optimal,1735470,9142907,18365107,off,,1,1e-06,,5000.0,29.96157855540514,4.477295996621251,3747.4466634765267,1.2133725434541702,3783.099419871345,3783.4758501909673,94,,,,,2707106.949074414,3.656168469827917e-09,1.9602339307311922e-07,,,,,,,,,,,,,,,,,,,9805.7421875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,3,psipm-v3,external-timeout,,,,off,,1,1e-06,,5000.0,,,,,5000.0,5120.153403069824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Command '['/home/sc9c23/.conda/envs/psipm-benchmark/bin/python', '/iridisfs/home/sc9c23/MF-PSIPM/batch_test_v3.py', '--worker', '--model', '/iridisfs/scratch/sc9c23/mps/dlr1.mps', '--method', 'psipm-v3', '--repeat-index', '0', '--order-position', '3', '--tol', '1e-06', '--time-limit', '5000.0', '--threads', '1', '--presolve', 'off', '--pc', '3', '--maxit', '500', '--inner-maxit', '3', '--core-factor', '1.0', '--max-core-factor', '3.0', '--retention', '0.9', '--factor-max-age', '2', '--core-max-age', '12', '--refresh-cg', '30', '--fill-weight', '0.2', '--cg-tol', '1e-07', '--cg-tol-max', '0.01', '--forcing-factor', '0.1', '--cg-maxit', '1000', '--retry-growth', '1.35', '--cholmod-order', 'best', '--low-rank-max-columns', '8', '--low-rank-min-nnz', '1024', '--low-rank-clique-ratio', '2.0', '--printlevel', '0', '--seed', '20260810']' timed out after 5120.0 seconds",,,,,,,,,,,,,,
ds-big,/iridisfs/scratch/sc9c23/mps/ds-big.mps.gz,0,1,highs-hipo,optimal,1042,174997,4623442,off,,1,1e-06,,5000.0,4.639417203143239,0.6629454325884581,40.89317222125828,0.02844664826989174,46.2246413230896,46.53982177376747,76,,,,,86.8200741918336,6.382986728059592e-08,1.6307538197772792e-15,,,,,,,,,,,,,,,,,,,740.5859375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
